p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
7.906977399466347e-10	10.082003807252246	0.778	0.306	1.5769675725495684e-5	7	IGKC
1.0795758156206708e-7	8.976938476931036	0.5	0.129	0.002153106006673866	7	IGHM
2.2680293665088122e-7	8.243082545625779	0.333	0.056	0.004523357768565175	7	IGLC2
1.6362748157539083e-47	8.157773360550124	1	0.076	3.2633864925395946e-43	7	JCHAIN
4.465508934960161e-19	8.005561783771546	0.333	0.018	8.906011019884546e-15	7	IGLC3
8.556272688557316e-41	7.239053622003341	0.444	0.011	1.706463025005871e-36	7	IGHG2
5.3540492975508905e-61	7.229159186239895	0.611	0.013	1.0678115919035495e-56	7	IGHA1
1.5881542353501038e-19	6.382576160958581	0.444	0.033	3.1674148069822468e-15	7	IGHG1
7.874807653830385e-141	5.609058236274406	1	0.01	1.5705516384799318e-136	7	MZB1
2.499318363887601e-100	5.0608694419291735	0.984	0.479	4.984640544937431e-96	2	LYZ
2.1303662186142155e-94	4.617581660417909	1	0.773	4.248802386404191e-90	2	S100A9
1.2190638910540448e-154	4.5379985478222045	0.964	0.203	2.431301024318187e-150	1	AKR1B10
1.2060745002994446e-92	4.353817586761373	1	0.883	2.4053949833972124e-88	2	S100A8
8.383602886871545e-157	4.169371280293006	1	0.319	1.6720257597576608e-152	1	ALDH1A1
2.4702592596034835e-132	4.131990737594962	0.944	0.043	4.926685067353188e-128	6	FCGR3A
1.9656594467821323e-166	4.039742510241704	0.982	0.15	3.9203112006622844e-162	1	AKR1C2
9.031976566487396e-100	4.024396927791194	0.882	0.212	1.8013374064202463e-95	2	S100A12
6.420696058457093e-152	3.828989719560841	1	0.407	1.2805436218986828e-147	1	AKR1C3
8.990749656153878e-141	3.758300410061404	0.932	0.195	1.7931151114233293e-136	1	KRT81
1.0516182216913298e-37	3.6579258060924054	0.479	0.149	2.097347381341188e-33	1	NTS
8.476748329805966e-171	3.627390575909818	0.889	0.002	1.6906026868965017e-166	7	TNFRSF17
8.910507165543344e-46	3.5916098676697663	0.931	0.303	1.7771115490959646e-41	6	CD52
5.152552034624322e-175	3.5582703639334494	0.976	0.082	1.0276249777854748e-170	1	TCIM
1.7680280870665557e-107	3.554583739072313	0.973	0.306	3.526155216845539e-103	2	MNDA
3.4446950972169337e-16	3.462013149060092	0.167	0.004	6.8700999018894525e-12	7	IGLV2-14
1.599582090309504e-60	3.3482772227214777	0.278	0	3.1902065209132747e-56	7	IGHA2
6.857027578385997e-54	3.3176051188966373	1	0.334	1.3675655802333033e-49	6	LST1
1.842334165114552e-87	3.291131980690168	0.909	0.337	3.674351258904463e-83	2	CD14
6.867981344662128e-111	3.248094370565328	0.973	0.218	1.369750199379415e-106	2	FCN1
6.516453825215675e-128	3.247376356658089	0.882	0.09	1.2996415509010141e-123	2	MS4A6A
6.49505526196604e-143	3.219499099102742	0.891	0.121	1.295373821446507e-138	1	AKR1C1
1.786199936428905e-53	3.1391718154396835	1	0.339	3.5623971532138085e-49	6	AIF1
8.918381577277204e-75	3.110826296111525	0.903	0.482	1.7786820217721656e-70	2	VCAN
4.711220085803936e-15	3.0847126726374023	1	0.436	9.39605733912737e-11	7	SEC11C
1.5569197410304638e-91	3.0760133529625833	0.995	0.407	3.105120731511157e-87	2	CTSS
2.4183408776066104e-78	3.0669871087341525	0.792	0.069	4.823139046298624e-74	6	MS4A7
1.1250892254390141e-96	3.0534078565165133	0.657	0.062	2.2438779512155696e-92	1	GPX2
2.9822325954040334e-13	3.0337675401840527	1	0.778	5.947764688273804e-9	7	HSP90B1
3.487089943419435e-120	3.0294148036903144	0.751	0.056	6.95465218315572e-116	1	ALDH3A1
6.83476088839384e-9	3.0253885059943375	0.111	0.004	1.3631247115812673e-4	7	IGLV3-9
4.969500873579096e-47	2.9438820243633126	0.986	0.386	9.911172542266148e-43	6	FCER1G
3.981687955368343e-99	2.9187606637500183	0.839	0.15	7.941078458186622e-95	2	CSTA
8.099838243759099e-85	2.9183806651152002	0.989	0.782	1.6154317393353148e-80	2	FOS
6.853784636939223e-172	2.9033382483005594	0.964	0.068	1.3669188079911587e-167	1	BEX3
1.2758583249573856e-77	2.887883275960131	0.624	0.078	2.54457184329501e-73	2	PLBD1
1.396986749916276e-97	2.821017714389864	0.661	0.048	2.7861503740330207e-93	2	CD36
4.5995305872022565e-145	2.8105525901061634	0.991	0.424	9.17330380311618e-141	1	PON2
1.4068735474605142e-168	2.7875835560675153	0.833	0.001	2.8058686030552497e-164	7	CD79A
4.4040765780548365e-86	2.756154888673402	1	0.446	8.783490327272566e-82	2	TYROBP
5.0740824210051676e-23	2.6971025237033155	0.889	0.138	1.0119749980452706e-18	7	ISG20
1.3936211287137004e-154	2.6844160889414144	0.97	0.192	2.779437979106604e-150	1	UCHL1
1.0135759065162112e-92	2.6187615383577456	0.801	0.119	2.0214757879559317e-88	2	TMEM176B
3.3652318335119015e-50	2.604177255784452	0.889	0.193	6.711618368756136e-46	6	HLA-DPA1
2.886949673965551e-94	2.601722324531083	0.86	0.177	5.757732429756895e-90	2	EVI2B
9.760751044596645e-13	2.559019410022736	1	0.52	1.946684188334355e-8	7	SPCS3
2.700081049669861e-79	2.5570487260868315	0.75	0.057	5.385041645461571e-75	6	CSF1R
2.148668688308027e-98	2.543808599815513	1	0.772	4.2853048319615293e-94	1	AKR1B1
8.611459480159014e-75	2.480640783239245	0.801	0.199	1.7174694787229137e-70	2	ITGB2
6.319098255522142e-51	2.4772790734725003	0.694	0.094	1.260280956081336e-46	6	VAMP5
7.599583717437855e-82	2.473578650285029	0.995	0.731	1.5156609766058058e-77	2	SRGN
1.1588604299148494e-83	2.468985451693231	0.796	0.155	2.3112312414221757e-79	2	LAPTM5
3.934616137899422e-30	2.4637485054950226	0.778	0.067	7.847198425426607e-26	7	EAF2
2.8896225508295913e-65	2.4614364366129475	0.861	0.117	5.763063215374537e-61	6	HLA-DPB1
4.023615192552241e-41	2.45249458903522	0.222	0.002	8.024698140026189e-37	6	C1QB
5.227845088725017e-72	2.450366378543002	0.778	0.02	1.0426414244953174e-67	7	CD38
3.1722759571087385e-23	2.4361203440291535	0.944	0.166	6.326787168857668e-19	7	ITM2C
1.0141829827314982e-86	2.386612616925174	0.753	0.108	2.0226865407597e-82	2	CYBB
3.1438883682259056e-67	2.383342004817394	0.613	0.1	6.270170961589746e-63	2	SELL
3.149297862413684e-36	2.3830937185727774	0.861	0.303	6.280959656797851e-32	6	LYN
2.473064560356495e-59	2.377236743458876	0.653	0.062	4.932279959174994e-55	6	SMIM25
3.914647242917119e-123	2.344173790223673	0.962	0.402	7.807372461273902e-119	1	SPINT2
5.116564018732665e-14	2.3350470674547683	1	0.457	1.0204475278960426e-9	7	XBP1
1.0619309882804786e-127	2.3241769814747633	0.763	0.045	2.1179151630265865e-123	1	PMEPA1
3.6462469084554127e-168	2.3108244981268524	0.833	0.001	7.272074834223476e-164	7	CD27
1.2006005855469526e-39	2.3064522006926644	0.986	0.393	2.3944778078148423e-35	6	ARHGDIB
2.5488041937305496e-78	2.2994827482850635	0.699	0.099	5.083335083976208e-74	2	CPVL
7.401344069975541e-32	2.2988374519570134	0.931	0.535	1.4761240613159219e-27	6	SERPINA1
4.1435260702104025e-19	2.2938388200503335	0.639	0.283	8.263848394427626e-15	6	WARS
2.907387026062537e-12	2.2861246661527996	0.833	0.251	5.7984926847791236e-8	7	UBE2J1
4.275574790356242e-77	2.2820960563802886	0.866	0.234	8.52720636188649e-73	2	LCP1
1.3058193465613015e-36	2.2597443916483186	0.667	0.13	2.60432610478186e-32	6	LILRB2
1.0090414018199443e-60	2.2575987568470746	0.715	0.19	2.0124321717896969e-56	2	FPR1
3.1200956152395966e-10	2.240594740449965	0.944	0.78	6.222718695033851e-6	7	PPIB
5.296011608132031e-53	2.238826041651188	0.833	0.139	1.0562365551258523e-48	6	PILRA
3.088124436151453e-31	2.2378233634873355	0.972	0.601	6.158955375460458e-27	6	CD74
2.4741845185209426e-63	2.237236092210289	0.656	0.13	4.934513603738168e-59	2	CLEC12A
6.146034409520211e-81	2.2352749509445045	0.64	0.064	1.2257651026347108e-76	2	MPEG1
4.416976950911464e-51	2.2152247694400042	0.847	0.146	8.809218830897824e-47	6	HLA-DRB5
1.982404040271967e-125	2.213799047054086	0.817	0.08	3.953706617918411e-121	1	CYP24A1
7.608821020592841e-73	2.192464739485699	0.914	0.325	1.5175032643470361e-68	2	HLA-DRA
2.642941087650248e-66	2.153774815273726	0.71	0.132	5.271081705209655e-62	2	FGL2
1.2050838249892246e-36	2.1481129002239516	0.778	0.186	2.4034191805585096e-32	6	SPI1
6.623144159228353e-73	2.1460451477314173	0.801	0.17	1.3209198711165027e-68	2	HLA-DRB1
1.2296109701789446e-86	2.1373479104359525	0.888	0.393	2.452336118924887e-82	1	ID3
9.443679862784238e-72	2.1316817954508878	0.925	0.322	1.8834475118336883e-67	2	ARHGDIB
8.796540963164078e-31	2.1173324501696764	0.931	0.397	1.7543821296934436e-26	6	HLA-DRA
4.113303826508669e-62	2.1169860200289534	0.747	0.204	8.20357315158889e-58	2	FYB1
6.683579130795488e-46	2.1066977745149966	0.611	0.022	1.332973021845852e-41	7	DERL3
2.537576885820384e-40	2.097570982797253	0.847	0.192	5.060943341080174e-36	6	IGSF6
8.687011944195012e-66	2.093653454587455	0.548	0.06	1.732537662150253e-61	2	TNFSF13B
6.441175967904882e-33	2.092473202170839	0.708	0.16	1.2846281350389496e-28	6	C1orf162
1.2136069573098845e-69	2.0796290825150137	0.726	0.127	2.4204177156588336e-65	2	IGSF6
3.003018713593996e-32	2.0729616318367956	1	0.515	5.989220522391866e-28	6	TYROBP
5.688810246959168e-23	2.0679470575568253	0.667	0.069	1.1345763156535364e-18	7	PIM2
1.5948920550552861e-49	2.0656847285656834	0.538	0.11	3.1808527146022626e-45	2	KCTD12
6.533194008048736e-61	2.058553072869812	0.543	0.069	1.30298021296524e-56	2	TMEM176A
2.06476183555583e-32	2.0578072730429833	0.861	0.299	4.117961004832547e-28	6	PTPRC
2.4225416006926655e-60	2.055184479109306	0.79	0.236	4.831516968421452e-56	2	PTPRC
1.556101916604515e-45	2.0551050021977972	0.543	0.122	3.1034896624760443e-41	2	SULT1A1
1.5807808684464363e-72	2.0397903509625	0.995	0.905	3.1527093640295727e-68	2	SH3BGRL3
2.729387469943232e-34	2.034621224397609	0.653	0.134	5.4434903700547825e-30	6	PTPN6
1.8978418256491493e-8	2.0280133352855687	0.778	0.349	3.7850557370746636e-4	7	SDF2L1
1.6457899199776088e-26	2.0225898527013357	0.889	0.61	3.282363416403343e-22	6	COTL1
3.2736488456248027e-34	2.0199694034294016	0.731	0.47	6.528965257714107e-30	2	ZFP36
7.025064207960302e-54	2.0199272066789216	0.935	0.822	1.4010788056356025e-49	2	NFKBIA
1.3984706104985894e-58	2.019617097765699	0.769	0.233	2.789109785578387e-54	2	GMFG
5.066066118847328e-68	2.0152612987307252	0.978	0.546	1.0103762267429111e-63	2	CD74
8.129064738520166e-19	2.00799548969076	0.611	0.232	1.621260671450462e-14	6	RNASET2
6.951291279392153e-22	2.0037136990767195	0.575	0.352	1.386365532761971e-17	2	JUN
1.6072256177814544e-76	1.9987847614243357	0.962	0.306	3.2054507721033325e-72	2	FCER1G
8.73635173472283e-25	1.9972464346662715	0.821	0.287	1.742377989973121e-20	5	SAA1
9.25063196080205e-30	1.9710567398987122	0.736	0.205	1.8449460382623609e-25	6	HCLS1
7.284710720021709e-58	1.9688434723639279	0.72	0.201	1.4528627060011298e-53	2	SAMHD1
4.301711748695351e-103	1.9667683597964902	0.796	0.163	8.579333911598008e-99	1	CD24
3.56918519143283e-30	1.9657437755883624	0.532	0.209	7.118382945793636e-26	2	AHNAK
5.7632695977969536e-43	1.9625281608899128	1	0.996	1.1494264885846244e-38	6	FTL
5.627198512010599e-7	1.9554484853242702	0.778	0.468	0.011222884712353939	7	LMAN1
1.2866999589100509e-30	1.954246686989742	1	0.48	2.5661943980502055e-26	6	CTSS
1.6703670005907809e-47	1.952209037384908	0.278	0.004	3.3313799459782532e-43	6	C1QA
4.357816934191564e-86	1.9504161501149184	0.825	0.274	8.691230093551656e-82	1	ANXA4
1.0716309985215806e-60	1.9495933864276906	0.403	0.02	2.1372608634514404e-56	2	RNASE6
1.1879856136646556e-32	1.9287540676116388	0.542	0.084	2.3693185078927892e-28	6	NAPSB
1.6005990817236746e-28	1.9200504907796585	0.548	0.238	3.1922348085896965e-24	2	CSF3R
3.053718956402684e-126	1.9126397426063964	1	0.974	6.090337086649512e-122	1	RPS19
1.1829147496427631e-89	1.9099208412767301	0.828	0.305	2.359205176687527e-85	1	EPHX1
7.917075117405305e-33	1.900854848236867	0.64	0.32	1.578981461415314e-28	2	AP1S2
1.0150394765997598e-29	1.8980883408036255	0.819	0.248	2.024394732130561e-25	6	HLA-DRB1
1.0530490609940914e-57	1.8964772986351175	0.624	0.102	2.100201047246616e-53	2	C1orf162
1.2365639540633374e-52	1.8927521339188225	0.522	0.076	2.4662031499839202e-48	2	CFP
1.237879749588085e-44	1.8923293764367555	0.375	0.02	2.468827372578477e-40	6	ABI3
2.8125580720058394e-28	1.8919504840706205	0.986	0.911	5.609365818808446e-24	6	IFITM2
1.0644661580999047e-76	1.8911748078959634	0.946	0.257	2.1229713057144498e-72	2	AIF1
3.6395464988288206e-37	1.8901404354715092	0.833	0.194	7.2587115372642e-33	6	FGL2
1.7373020552622854e-44	1.8899679656474113	0.473	0.085	3.464875219015102e-40	2	JAML
3.8496847152022484e-40	1.8890154208410928	0.376	0.049	7.677811195999365e-36	2	MAFB
1.1264548027917683e-25	1.8876464245050797	0.972	0.696	2.2466014586879028e-21	6	IFITM3
1.273679872410317e-32	1.887515979121193	1	0.905	2.5402271375351363e-28	6	PSAP
4.4029401113183044e-11	1.8858626908984721	1	0.827	8.781223758013227e-7	7	SUB1
1.2648593570093617e-77	1.88218532701575	0.802	0.293	2.522635501619471e-73	1	ID1
8.557423791893226e-26	1.8810195241019847	0.861	0.43	1.706692601055185e-21	6	TXNIP
2.9974796232205304e-32	1.8770565232552374	0.559	0.207	5.978173360551026e-28	2	RGS2
5.717608277598931e-52	1.8770220722847522	0.699	0.203	1.1403197948843308e-47	2	VSIR
2.7328552905632536e-38	1.8747053293686653	0.538	0.152	5.450406591499353e-34	2	NCF2
1.9909527041732406e-85	1.87055611650984	0.444	0.001	3.9707560732031113e-81	7	IGHG4
7.43214093869061e-36	1.868941137413275	0.608	0.227	1.482266188812455e-31	2	TSC22D3
8.07469573377645e-109	1.868693095242794	0.914	0.342	1.6104173171443753e-104	1	PERP
1.155594372598937e-28	1.8656617413743883	0.639	0.146	2.3047174167113198e-24	6	HCK
2.078159348890271e-101	1.8630146723847458	0.678	0.059	4.1446810054267564e-97	1	HPGD
8.40681039204581e-99	1.8552975990229004	0.991	0.574	1.6766542645896165e-94	1	NQO1
4.604378823924624e-108	1.8418284527985227	0.731	0.077	9.18297312643527e-104	1	AMIGO2
4.618736204283428e-25	1.8416508807080678	0.583	0.146	9.211607485822867e-21	6	BCL2A1
5.497692104297823e-106	1.8413030673533834	0.938	0.251	1.0964597132811578e-101	1	ECH1
1.0037057650897614e-31	1.8341804292543096	0.903	0.31	2.0017907778950203e-27	6	LCP1
2.0203524890234294e-29	1.831506466508988	0.758	0.625	4.0293910041083276e-25	2	IER2
2.0872536117810454e-43	1.8309977456660924	0.538	0.118	4.162818603336117e-39	2	HCST
8.414577194838387e-45	1.8270017299704446	0.586	0.147	1.678203275738568e-40	2	FGR
9.028970867297075e-75	1.8216576370862079	0.979	0.596	1.8007379497737287e-70	1	KRT18
