p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	4.70839151824877	0.983	0.034	0	7	Prm2
0	4.592880547200485	0.962	0.043	0	7	Prm1
0	4.127206087900534	0.406	0.007	0	8	Lyz2
0	4.0617415697847035	0.761	0.025	0	7	Tnp2
0	4.044348776357077	0.35	0.004	0	8	Chil3
0	3.545949679409207	0.632	0.014	0	7	Tnp1
0	3.3109595216470993	0.699	0.018	0	7	Cabs1
0	3.303359118482251	0.481	0.022	0	8	Tmsb4x
0	3.2464406711640157	0.813	0.048	0	7	Akap4
0	3.2150495626947553	0.849	0.083	0	7	Smcp
0	3.153068827293897	0.404	0.024	0	8	Fth1
0	3.005259705434486	0.739	0.055	0	7	Gsg1
0	2.9606441544293776	0.273	0.003	0	8	Ctss
0	2.868269908466959	0.536	0.028	0	7	Gapdhs
0	2.8523535166244818	0.498	0.018	0	7	4933411K16Rik
2.3790638755813522e-208	2.819583302467837	0.551	0.096	8.986437977233442e-204	8	Actb
0	2.817294774740012	0.698	0.058	0	7	Spz1
0	2.800797486318663	0.605	0.048	0	7	Hmgb4
0	2.7945080430136304	0.674	0.072	0	7	Dbil5
0	2.7642611291423176	0.233	0.002	0	8	Ccl6
0	2.72511277395829	0.522	0.033	0	7	Oaz3
0	2.7129043931492087	0.467	0.013	0	7	Spata3
0	2.6799715625585367	0.466	0.017	0	7	Ccdc91
0	2.677298132159973	0.395	0.004	0	7	1700027A15Rik
0	2.6735352533635055	0.39	0.007	0	7	Fam71f2
0	2.6474497406188005	0.375	0.005	0	7	Spem1
0	2.6459209947823776	0.426	0.016	0	7	Spata18
0	2.644335419830497	0.242	0.003	0	8	Ctsd
0	2.629303439837794	0.524	0.04	0	7	1700009N14Rik
0	2.618771534868925	0.411	0.016	0	7	1700001C19Rik
0	2.6176239243471504	0.221	0.003	0	8	Vim
0	2.6032237900380526	0.242	0.002	0	8	Cd74
0	2.594638661910541	0.411	0.019	0	7	1700029H14Rik
0	2.5784242856755024	0.49	0.023	0	7	Iqcf3
0	2.577941631335068	0.548	0.049	0	7	Odf1
0	2.5577315049784555	0.399	0.009	0	7	H2afb1
0	2.543164560617682	0.567	0.049	0	7	2610318N02Rik
0	2.5395680398395855	0.393	0.015	0	7	Ubl4b
0	2.5297989667330616	0.364	0.004	0	7	Tfam
0	2.518677382907788	0.519	0.038	0	7	St6galnac2
0	2.50910729876933	0.747	0.114	0	7	Eif1
0	2.4943064062269986	0.424	0.018	0	7	Gabarapl1
0	2.471115735102243	0.321	0.006	0	7	Tppp2
0	2.468230286152875	0.369	0.013	0	7	4930571K23Rik
0	2.4643870697535117	0.337	0.005	0	7	1700012A03Rik
0	2.454035309206947	0.311	0.006	0	7	Lelp1
0	2.446352046564397	0.357	0.01	0	7	1700031M16Rik
0	2.446146903694741	0.368	0.015	0	7	Atl3
0	2.4297511445646642	0.316	0.004	0	7	4921507P07Rik
0	2.4283344419525026	0.627	0.083	0	7	Akap12
0	2.4258769063754255	0.476	0.03	0	7	Cst8
0	2.418792558844382	0.773	0.077	0	5	Lyar
0	2.4145275795825736	0.34	0.016	0	7	1700001O22Rik
0	2.410610752421349	0.418	0.02	0	7	Txndc2
0	2.4104716869952094	0.763	0.076	0	5	Calm1
0	2.407124062141543	0.277	0.002	0	7	Ubqlnl
0	2.4016927466071603	0.302	0.003	0	7	1700015G11Rik
0	2.392024526425988	0.597	0.043	0	5	mt-Co1
0	2.3907769045953278	0.306	0.007	0	7	1700016H13Rik
0	2.386787709602512	0.778	0.133	0	7	Odf2
0	2.3783626782706078	0.309	0.004	0	7	Tex37
0	2.3663047059651947	0.361	0.021	0	7	Clpb
0	2.3399639452369314	0.254	0.002	0	7	Oxct2b
0	2.3354200564176835	0.335	0.013	0	7	H1fnt
0	2.297861586715932	0.82	0.102	0	5	Hsp90aa1
0	2.284422424536847	0.411	0.032	0	7	Ccdc54
6.101190924158513e-274	2.2774544926435745	0.375	0.032	2.3046028477823954e-269	7	Bag1
5.344597727609829e-265	2.2630615439926256	0.393	0.039	2.0188148996500607e-260	7	Hk1
0	2.2586859017795105	0.244	0.002	0	7	1700080E11Rik
0	2.24731040568795	0.357	0.017	0	7	Iqcf1
1.094527214558461e-277	2.246887901504482	0.495	0.065	4.1343576475516744e-273	7	Spata19
1.1035138358969762e-292	2.246023396812464	0.296	0.014	4.168302812333648e-288	7	Nbr1
3.3197506379398946e-303	2.2424599559686573	0.373	0.027	1.2539694084690365e-298	7	Prm3
0	2.223268593665955	0.275	0.008	0	7	Bzw1
0	2.2204644223585768	0.251	0.002	0	7	Gm5893
7.7829196583544e-226	2.2197869705698245	0.147	0.001	2.939842242550207e-221	8	Clec7a
7.477423998252208e-263	2.2142933403568072	0.332	0.025	2.824447366859807e-258	7	Acsl1
2.167322686571592e-268	2.2134292097085373	0.357	0.029	8.186627983986874e-264	7	Tmem53
