,chrom,convs,covers,gene_id,pos2,posratio,cell_id
0,1,1,7,ENSMUSG00000025902,4491085,0.14285714285714285,control
1,1,2,2,ENSMUSG00000098104,4687965,1.0,control
2,1,3,3,ENSMUSG00000103922,4771173,1.0,control
3,1,1,333,ENSMUSG00000033845,4776400,0.003003003003003003,control
4,1,1,333,ENSMUSG00000033845,4776401,0.003003003003003003,control
5,1,2,368,ENSMUSG00000033845,4776417,0.005434782608695652,control
6,1,1,390,ENSMUSG00000033845,4776437,0.002564102564102564,control
7,1,1,473,ENSMUSG00000033845,4776485,0.0021141649048625794,control
8,1,1,564,ENSMUSG00000033845,4776580,0.0017730496453900709,control
9,1,1,362,ENSMUSG00000033845,4776690,0.0027624309392265192,control
10,1,1,151,ENSMUSG00000033845,4777545,0.006622516556291391,control
11,1,2,160,ENSMUSG00000033845,4777615,0.0125,control
12,1,1,174,ENSMUSG00000033845,4781548,0.005747126436781609,control
13,1,1,175,ENSMUSG00000033845,4781582,0.005714285714285714,control
14,1,1,23,ENSMUSG00000025903,4845116,0.043478260869565216,control
15,1,1,10,ENSMUSG00000025903,4845204,0.1,control
16,1,1,7,ENSMUSG00000025903,4845633,0.14285714285714285,control
17,1,1,119,ENSMUSG00000025903,4846517,0.008403361344537815,control
18,1,1,117,ENSMUSG00000025903,4846637,0.008547008547008548,control
19,1,1,1,ENSMUSG00000062588,4880339,1.0,control
20,1,1,277,ENSMUSG00000033813,4889588,0.0036101083032490976,control
21,1,1,97,ENSMUSG00000033813,4892022,0.010309278350515464,control
22,1,2,21,ENSMUSG00000033813,4896412,0.09523809523809523,control
23,1,1,24,ENSMUSG00000033813,4896417,0.041666666666666664,control
24,1,1,23,ENSMUSG00000033813,4896424,0.043478260869565216,control
25,1,1,1,ENSMUSG00000002459,4909894,1.0,control
26,1,3,8,ENSMUSG00000033793,5098134,0.375,control
27,1,1,85,ENSMUSG00000033793,5150059,0.011764705882352941,control
28,1,2,247,ENSMUSG00000033793,5162244,0.008097165991902834,control
29,1,1,241,ENSMUSG00000033793,5162251,0.004149377593360996,control
30,1,1,243,ENSMUSG00000033793,5162260,0.00411522633744856,control
31,1,1,35,ENSMUSG00000025907,6249519,0.02857142857142857,control
32,1,1,32,ENSMUSG00000025907,6249531,0.03125,control
33,1,1,9,ENSMUSG00000025907,6268735,0.1111111111111111,control
34,1,1,1,ENSMUSG00000102135,6916885,1.0,control
35,1,1,1,ENSMUSG00000103903,7664825,1.0,control
36,1,1,1,ENSMUSG00000084353,8792178,1.0,control
37,1,1,1,ENSMUSG00000076135,8816117,1.0,control
38,1,5,5,ENSMUSG00000076135,8816200,1.0,control
39,1,5,5,ENSMUSG00000076135,8816204,1.0,control
40,1,5,5,ENSMUSG00000076135,8816209,1.0,control
41,1,1,5,ENSMUSG00000061024,9546985,0.2,control
42,1,1,12,ENSMUSG00000045210,9724579,0.08333333333333333,control
43,1,1,25,ENSMUSG00000097893,9791150,0.04,control
44,1,1,5,ENSMUSG00000097893,9791444,0.2,control
45,1,1,7,ENSMUSG00000025915,9886119,0.14285714285714285,control
46,1,1,2,ENSMUSG00000025915,9898924,0.5,control
47,1,1,8,ENSMUSG00000025915,9900521,0.125,control
48,1,1,40,ENSMUSG00000098234,9942021,0.025,control
49,1,3,310,ENSMUSG00000098234,9942024,0.00967741935483871,control
50,1,1,403,ENSMUSG00000098234,9942031,0.0024813895781637717,control
51,1,1,509,ENSMUSG00000098234,9942071,0.0019646365422396855,control
52,1,1,517,ENSMUSG00000098234,9942081,0.0019342359767891683,control
53,1,2,561,ENSMUSG00000098234,9942139,0.0035650623885918,control
54,1,3,594,ENSMUSG00000098234,9942334,0.005050505050505051,control
55,1,1,582,ENSMUSG00000098234,9942350,0.001718213058419244,control
56,1,1,527,ENSMUSG00000098234,9942627,0.0018975332068311196,control
57,1,1,487,ENSMUSG00000098234,9942636,0.002053388090349076,control
58,1,1,471,ENSMUSG00000098234,9942646,0.0021231422505307855,control
59,1,1,373,ENSMUSG00000098234,9944082,0.002680965147453083,control
60,1,4,190,ENSMUSG00000025917,10024833,0.021052631578947368,control
61,1,1,254,ENSMUSG00000025917,10024872,0.003937007874015748,control
62,1,3,316,ENSMUSG00000025917,10024892,0.00949367088607595,control
63,1,1,343,ENSMUSG00000025917,10024908,0.0029154518950437317,control
64,1,1,501,ENSMUSG00000025917,10025008,0.001996007984031936,control
65,1,1,389,ENSMUSG00000025917,10027123,0.002570694087403599,control
66,1,1,198,ENSMUSG00000025917,10027222,0.005050505050505051,control
67,1,1,32,ENSMUSG00000056763,10038235,0.03125,control
68,1,2,27,ENSMUSG00000056763,10047472,0.07407407407407407,control
69,1,1,22,ENSMUSG00000056763,10066783,0.045454545454545456,control
70,1,1,65,ENSMUSG00000067851,10137803,0.015384615384615385,control
71,1,1,30,ENSMUSG00000067851,10137925,0.03333333333333333,control
72,1,2,19,ENSMUSG00000067851,10180987,0.10526315789473684,control
73,1,1,6,ENSMUSG00000067851,10189603,0.16666666666666666,control
74,1,1,2,ENSMUSG00000048960,11303679,0.5,control
75,1,1,2,ENSMUSG00000097628,12566223,0.5,control
76,1,2,2,ENSMUSG00000097628,12566225,1.0,control
77,1,2,2,ENSMUSG00000097628,12566268,1.0,control
78,1,1,28,ENSMUSG00000005886,13139200,0.03571428571428571,control
79,1,1,6,ENSMUSG00000025935,13564702,0.16666666666666666,control
80,1,1,151,ENSMUSG00000025935,13564939,0.006622516556291391,control
81,1,1,112,ENSMUSG00000025935,13565017,0.008928571428571428,control
82,1,1,45,ENSMUSG00000025935,13565096,0.022222222222222223,control
83,1,1,23,ENSMUSG00000025935,13565954,0.043478260869565216,control
84,1,1,37,ENSMUSG00000025935,13566321,0.02702702702702703,control
85,1,1,6,ENSMUSG00000025925,15805780,0.16666666666666666,control
86,1,1,22,ENSMUSG00000025925,15843158,0.045454545454545456,control
87,1,1,10,ENSMUSG00000032719,15855515,0.1,control
88,1,8,1464,ENSMUSG00000043716,16101298,0.00546448087431694,control
89,1,1,3443,ENSMUSG00000043716,16101306,0.0002904443799012489,control
90,1,1,3467,ENSMUSG00000043716,16101307,0.00028843380444188056,control
91,1,1,4393,ENSMUSG00000043716,16101324,0.00022763487366264513,control
92,1,1,4423,ENSMUSG00000043716,16101325,0.00022609088853719196,control
93,1,1,5399,ENSMUSG00000043716,16101337,0.00018521948508983145,control
94,1,1,5461,ENSMUSG00000043716,16101339,0.00018311664530305805,control
95,1,1,5666,ENSMUSG00000043716,16101342,0.00017649135192375574,control
96,1,1,5689,ENSMUSG00000043716,16101343,0.00017577781683951485,control
97,1,4,6148,ENSMUSG00000043716,16101347,0.0006506180871828237,control
98,1,1,6585,ENSMUSG00000043716,16101355,0.00015186028853454822,control
99,1,3,6578,ENSMUSG00000043716,16101729,0.0004560656734569778,control
